Date,Description,Amount
2026-02-01,Salary Credit,50000
2026-02-02,Swiggy Food Order,-450
2026-02-03,Electricity Bill,-1200
2026-02-04,Amazon Shopping,-2300
2026-02-05,Uber Travel,-350
2026-02-06,School Fees,-5000
2026-02-07,Medical Pharmacy,-800
2026-02-08,Zomato Food Order,-600
2026-02-09,Rent Payment,-10000
2026-02-10,Water Bill,-500
2026-02-11,Petrol Fuel,-1500
2026-02-12,Hospital Medical,-2000
2026-02-13,Flipkart Shopping,-3000
2026-02-14,Salary Bonus,10000
2026-02-15,Grocery Store Food,-2500
2026-02-16,Netflix Subscription,-499
2026-02-17,Phone Bill Utility,-999
2026-02-18,College Fees Education,-8000
2026-02-19,Ola Travel,-250
2026-02-20,Pharmacy Medical,-1200
2026-02-21,Myntra Shopping,-1800
2026-02-22,Restaurant Food,-750
2026-02-23,Electricity Bill,-1100
2026-02-24,Salary Credit,50000
2026-02-25,Amazon Shopping,-4500
2026-02-26,Uber Travel,-400
2026-02-27,Medical Hospital,-3000
2026-02-28,Grocery Food,-1800
